time,Germany
2013-01,118.2
2013-02,119.9
2013-03,119.7
2013-04,108
2013-05,87.1
2013-06,77.9
2013-07,92.5
2013-08,97.2
2013-09,111.2
2013-10,104.5
2013-11,110.6
2013-12,106.3
2014-01,98.3
2014-02,92.5
2014-03,82.7
2014-04,81.4
2014-05,82.2
2014-06,81.7
2014-07,79.1
2014-08,74.3
2014-09,93.5
2014-10,95.1
2014-11,94.5
2014-12,94.2
2015-01,88.7
2015-02,116.4
2015-03,98
2015-04,94.3
2015-05,81
2015-06,96.1
2015-07,110.4
2015-08,100.8
2015-09,100.3
2015-10,125.7
2015-11,101.1
2015-12,87.2
2016-01,91.5
2016-02,69.1
2016-03,76.7
2016-04,77.3
2016-05,70.3
2016-06,88.7
2016-07,86.1
2016-08,86.6
2016-09,97.1
2016-10,117.6
2016-11,120
2016-12,112.2
2017-01,161.9
2017-02,122.7
2017-03,100.5
2017-04,89.6
2017-05,95.7
2017-06,94.7
2017-07,104.9
2017-08,96.9
2017-09,108.2
2017-10,84
2017-11,124.8
2017-12,97.1
2018-01,89.6
2018-02,126.8
2018-03,116
2018-04,101.5
2018-05,105.1
2018-06,134.7
2018-07,157.7
2018-08,179.2
2018-09,173.4
2018-10,167
2018-11,179.9
2018-12,148.6
2019-01,151
2019-02,134.3
2019-03,92.3
2019-04,114.7
2019-05,120.5
2019-06,103.4
2019-07,125.8
2019-08,117.2
2019-09,112.5
2019-10,117.3
2019-11,130.9
2019-12,99.4
2020-01,112.2
2020-02,68.4
2020-03,69.2
2020-04,54.4
2020-05,56.3
2020-06,84.1
2020-07,95
2020-08,111.1
2020-09,140.5
2020-10,107.4
2020-11,121.9
2020-12,135.1
2021-01,168.5
2021-02,156
2021-03,147.8
2021-04,168.4
2021-05,166.8
2021-06,234.2
2021-07,257.8
2021-08,262.3
2021-09,408.4
2021-10,438.1
2021-11,560.6
2021-12,687.4
2022-01,526.5
2022-02,398.3
2022-03,799.3
2022-04,525
2022-05,563.6
2022-06,711.7
2022-07,1008.2
2022-08,1480.8
2022-09,1111.2
2022-10,487
2022-11,544.9
2022-12,767.1
2023-01,364.6
2023-02,406.8
2023-03,320.7
2023-04,322.6
2023-05,259.9
2023-06,302.1
2023-07,248.2
2023-08,300.1
2023-09,322.5
